,company,title,location,seniority,category,salary,salary_period
852,LIBERTY WIRELESS PTE. LTD.,"Senior Software Engineer, Mobile Application (Android)",South,Professional ...,Accounting / Auditing / Taxation,"$5,000to$8,000",Monthly
853,LIBERTY WIRELESS PTE. LTD.,"Software Engineer, Mobile Application (Android)",South,Professional ...,Accounting / Auditing / Taxation,"$5,000to$8,000",Monthly
854,LEADING ENERGY PTE. LTD.,SENIOR TELECOM ENGINEER,Central,Professional,Admin / Secretarial ...,"$8,000to$9,000",Monthly
855,LIBERTY WIRELESS PTE. LTD.,"Senior Software Engineer, Mobile Application (iOS)",Central,Professional,Admin / Secretarial ...,"$5,000to$8,000",Monthly
856,LIBERTY WIRELESS PTE. LTD.,"Software Engineer, Mobile Application (iOS)",Central,Professional ...,Engineering ...,"$5,000to$8,000",Monthly
857,BUSINESS EDGE PERSONNEL SERVICES PTE LTD,Administrative Accounts Assistant,Central,Professional ...,Engineering ...,"$1,600to$1,600",Monthly
858,ISS ASIA PACIFIC PTE. LTD.,Risk Manager,Central,Senior Executive,Information Technology,"$8,500to$10,000",Monthly
859,LIBERTY WIRELESS PTE. LTD.,Product Manager,Central,Senior Executive,Information Technology,"$5,000to$8,000",Monthly
860,TAURX PHARMACEUTICALS LTD.,Accounts Assistant,East,Senior Executive,Information Technology,"$2,000to$3,000",Monthly
861,ALLEGIS GROUP SINGAPORE PRIVATE LIMITED,Avaya Contact Center Solutions Architect,East,Senior Executive,Information Technology,"$10,000to$15,000",Monthly
862,CIRRUS TECH SOLUTIONS PTE. LTD.,Software Developer (AWS),Central,Professional ...,Consulting ,"$6,500to$8,500",Monthly
863,UNIVERSAL PICTURES (SINGAPORE) HOLDINGS PTE. LTD.,EHS Manager,Central,Professional ...,Consulting ,"$80,000to$100,000",Annually
864,TECHCOM SOLUTIONS & CONSULTANCY PTE. LTD.,"Security Protegrity, Symantec CASB / DLP - Security Consultant",Central,Executive,Information Technology,"$5,000to$7,000",Monthly
865,ECOMMERCE ENABLERS PTE. LTD.,Product Designer,Central,Executive,Information Technology,"$5,000to$8,500",Monthly
866,NIKON SINGAPORE PTE. LTD.,Sales & Marketing Executive,Central,Senior Executive,Consulting ,Salary undisclosed,
867,BECTON DICKINSON HOLDINGS PTE. LTD.,Regional Supply Planner,Central,Senior Executive,Consulting ,"$3,000to$3,800",Monthly
868,MANPOWER STAFFING SERVICES (SINGAPORE) PTE LTD,Executive System Analyst - Geospatial / GIS,Central,Professional,Purchasing / Merchandising,"$5,000to$8,000",Monthly
869,NANYANG TECHNOLOGICAL UNIVERSITY,IT Infrastructure / Systems Administrator (VMware),Central,Professional,Purchasing / Merchandising,"$4,200to$8,000",Monthly
870,Ministry of Home Affairs,Senior Executive  /  Senior Manager (Logs and Sensor Deployment),West,Manager,Engineering,Salary undisclosed,
871,MANPOWER STAFFING SERVICES (SINGAPORE) PTE LTD,Storage Systems Engineer (Central),West,Manager,Engineering,"$4,500to$6,500",Monthly
872,WSH EXPERTS PTE. LTD.,Account Clerk | MOE School,South,Executive,Consulting  ...,"$1,700to$2,200",Monthly
