,company,title,location,seniority,category,salary,salary_period
0,GOOGLE ASIA PACIFIC PTE. LTD.,"Data Science Lead, Large Customer Sales - Singapore",South,Executive,Information Technology,"$7,700to$15,400",Monthly
1,KIMBERLEY CONSULTING PTE. LTD.,Data Analyst,South,Executive,Information Technology,Salary undisclosed,
2,DBS BANK LTD.,"AVP, Data Scientist, Business Analytics, Consumer Banking Group (180004XI)",Central,Executive,Information Technology,"$6,500to$11,700",Monthly
3,NIOMETRICS (PTE.) LTD.,High-Performance Data Engineer,Central,Executive,Information Technology,"$5,500to$11,000",Monthly
4,NIOMETRICS (PTE.) LTD.,Data Scientist,East,Senior Management,Information Technology,"$5,000to$10,000",Monthly
5,NATIONAL UNIVERSITY OF SINGAPORE,Data Scientist,East,Senior Management,Information Technology,"$5,000to$7,500",Monthly
6,KEYTEO CONSULTING PTE. LTD.,Data scientist  /  Application production engineer,East,Professional,Information Technology,"$8,000to$16,000",Monthly
7,MANPOWER STAFFING SERVICES (SINGAPORE) PTE LTD,Enterprise Architecture Tool Admin,East,Professional,Information Technology,"$6,000to$8,500",Monthly
8,WIPRO LIMITED (SINGAPORE BRANCH),Managing Consultant – Banking and Blockchain,East,Professional,Information Technology,"$10,000to$15,000",Monthly
9,GOOGLE ASIA PACIFIC PTE. LTD.,Global Mobility Solution Operations Specialist - Singapore,East,Professional,Information Technology,"$4,500to$9,000",Monthly
10,WIPRO LIMITED (SINGAPORE BRANCH),Project Manager,South,Non-executive,Education and Training ...,"$8,500to$10,500",Monthly
11,APAR INNOSYS PTE. LTD.,Software Consultant,South,Non-executive,Education and Training ...,"$6,000to$9,000",Monthly
12,NEURONES IT ASIA PTE. LTD.,SAP Consultant ( PP),Central,Non-executive,Banking and Finance,"$7,200to$8,000",Monthly
13,SEARCH STAFFING SERVICES PTE. LTD.,"Senior Engineer, Software Perception (Autonomous Driving)",Central,Non-executive,Banking and Finance,"$5,000to$8,500",Monthly
14,NIOMETRICS (PTE.) LTD.,Database Engineer,Islandwide,Executive,Information Technology,"$5,500to$11,000",Monthly
15,CHARLESKEITH.COM PTE. LTD.,Senior Marketing & PR Executive- US / AU / Europe,Islandwide,Executive,Information Technology,"$3,200to$3,800",Monthly
16,Company Undisclosed,Network Engineer / Manager,East,Professional,Information Technology,Salary undisclosed,
17,A DRBRAND PTE. LTD.,Logistics Executive,East,Professional,Information Technology,"$2,000to$2,600",Monthly
18,ROBERT WALTERS (SINGAPORE) PTE LTD,IT Project Coordinator,South,Junior Executive,General Management,"$4,500to$8,000",Monthly
19,DHL EXPRESS (SINGAPORE) PTE. LTD.,Reporting Senior Analyst,South,Junior Executive,General Management,"$65,000to$90,000",Annually
20,LEAP (G) PTE. LTD.,Delivery Consultant,"East, Central",Professional,Information Technology,"$10,000to$15,000",Monthly
21,A*STAR RESEARCH ENTITIES,GIS - Post Doctoral Fellows (Spatial Transcriptomics & Single Cell Oncology Program),"East, Central",Professional,Information Technology,"$4,500to$9,000",Monthly
22,BIG - FOOT LOGISTIC PTE LTD,Account Assistant,Islandwide,Executive,Information Technology,Salary undisclosed,
23,SETSCO SERVICES PTE LTD,Assistant Chemist  /  Chemist,Islandwide,Executive,Information Technology,"$2,400to$3,100",Monthly
24,NIOMETRICS (PTE.) LTD.,High-Perfomance DPI Engineer,Islandwide,Senior Executive,Information Technology,"$5,000to$11,000",Monthly
25,NIOMETRICS (PTE.) LTD.,UX / UI Developer,Islandwide,Senior Executive,Information Technology,"$5,000to$10,000",Monthly
26,MICROCOOL TECHNOLOGIES PTE. LTD.,PRODUCT MANAGER (BLOCKCHAIN TRADING PLATFORM),"East, Central",Professional,Engineering,"$6,000to$8,000",Monthly
27,TOTAL EBIZ SOLUTIONS PTE. LTD.,System Engineer,"East, Central",Professional,Engineering,"$5,000to$6,500",Monthly
28,APAR INNOSYS PTE. LTD.,Senior Software Developer,East,Professional,Information Technology,"$6,000to$8,500",Monthly
29,CHEVALIER SINGAPORE HOLDINGS PTE. LTD.,Admin Executive  /  Admin Assistant,East,Professional,Information Technology,"$2,000to$3,000",Monthly
30,SKY EMPLOYMENT PTE. LTD.,Administrative Executive,East,Senior Executive,Marketing / Public Relations ,"$2,400to$3,500",Monthly
31,MANPOWER STAFFING SERVICES (SINGAPORE) PTE LTD,Network Engineer (Architect level),East,Senior Executive,Marketing / Public Relations ,"$8,000to$12,000",Monthly
32,LONG SHINE EQUIPMENT & SUPPLIES PTE LTD,Accountant,North,Executive ...,Information Technology ...,"$3,000to$3,500",Monthly
33,"JPMORGAN CHASE BANK, N.A.","NiFi Engineer, Associate",North,Executive ...,Information Technology ...,"$6,000to$12,000",Monthly
34,"JPMORGAN CHASE BANK, N.A.","CyberSecurity Analyst - Attack Analysis, Associate",South,Fresh/entry level ...,Logistics / Supply Chain,"$6,000to$12,000",Monthly
35,SWIRE PACIFIC OFFSHORE OPERATIONS (PTE) LTD,"Support Specialist, Information Technology",South,Fresh/entry level ...,Logistics / Supply Chain,"$4,000to$4,500",Monthly
36,OPTIMUM SOLUTIONS (SINGAPORE) PTE LTD,Recruitment Manager,Central,Senior Executive,Information Technology,"$10,000to$12,000",Monthly
37,OPTIMUM SOLUTIONS (SINGAPORE) PTE LTD,Recruitment Specialist,Central,Senior Executive,Information Technology,"$7,500to$9,500",Monthly
38,OPTIMUM SOLUTIONS (SINGAPORE) PTE LTD,Recruitment Specialist,Central,Senior Executive,Logistics / Supply Chain,"$5,000to$7,000",Monthly
39,PRINTRONIX SCHWEIZ GMBH,Business Analyst,Central,Senior Executive,Logistics / Supply Chain,"$3,500to$5,000",Monthly
40,KIMBERLEY CONSULTING PTE. LTD.,Corporate Treasury Officer / Executive (Commodities),Islandwide,Professional,Information Technology,Salary undisclosed,
41,LIEBHERR-SINGAPORE PTE LTD,Lead Inspector,Islandwide,Professional,Information Technology,"$3,500to$4,000",Monthly
42,KELLY SERVICES (SINGAPORE) PTE. LTD.,Recruitment Consultant,South,Non-executive,Sciences / Laboratory / R&D,"$3,500to$5,250",Monthly
43,INFINEON TECHNOLOGIES ASIA PACIFIC PTE LTD,Change Manager – One SAP,South,Non-executive,Sciences / Laboratory / R&D,"$8,000to$13,000",Monthly
44,BOS OFFSHORE & MARINE PTE. LTD.,Power drivetrain Engineering Manager,West,Junior Executive,Accounting / Auditing / Taxation,Salary undisclosed,
45,NANYANG TECHNOLOGICAL UNIVERSITY,Research Fellow,West,Junior Executive,Accounting / Auditing / Taxation,"$4,000to$5,500",Monthly
46,CONNECT ENERGY SERVICES PTE. LTD.,Personnel Officer,West,Fresh/entry level ...,Sciences / Laboratory / R&D,"$2,800to$3,300",Monthly
47,SMIT SINGAPORE PTE LTD,HR Executive,West,Fresh/entry level ...,Sciences / Laboratory / R&D,"$3,000to$4,000",Monthly
48,PACIFIC GEOSCIENCE (S) PTE. LTD.,Technical Manager,East,Professional,Information Technology,"$4,000to$5,000",Monthly
49,PTS CONSULTING (SINGAPORE) PTE. LTD.,draughtsperson,East,Professional,Information Technology,Salary undisclosed,
50,MS RESOURCES PTE. LTD.,HR  / FINANCE ASSISTANT,East,Professional,Information Technology,"$1,800to$2,000",Monthly
51,A*STAR RESEARCH ENTITIES,"GIS - Post Doctoral Fellows (Mathematical Analysis of Epigenomes, Single Cell Transcriptomes)",East,Professional,Information Technology,"$4,500to$9,000",Monthly
52,LOURDES GAVIN PTE. LTD.,Assistant Engineer (Plating),West,Manager,Information Technology,"$2,000to$3,000",Monthly
53,KENSINGTON CORPORATE MANAGEMENT (S) PTE. LTD.,Due Diligence Executive,West,Manager,Information Technology,"$1,800to$2,200",Monthly
54,NIOMETRICS (PTE.) LTD.,Visual Content Creator,Islandwide,Professional,Information Technology,"$3,000to$5,000",Monthly
55,NIOMETRICS (PTE.) LTD.,UX / UI Designer,Islandwide,Professional,Information Technology,"$5,000to$10,000",Monthly
56,NIOMETRICS (PTE.) LTD.,Marketing Communications Executive,Islandwide,Executive,Information Technology,"$2,000to$3,500",Monthly
57,MCI CONSULTING PTE. LTD.,Payroll Specialist,Islandwide,Executive,Information Technology,"$2,000to$3,000",Monthly
58,MCI CONSULTING PTE. LTD.,Payroll Executive,Central,Non-executive,Admin / Secretarial,"$2,000to$3,000",Monthly
59,MCI CAREER  SERVICES PTE. LTD.,Payroll Executive,Central,Non-executive,Admin / Secretarial,"$2,000to$3,000",Monthly
60,MCI CAREER  SERVICES PTE. LTD.,Payroll Specialist,East,Fresh/entry level ...,Admin / Secretarial,"$2,000to$3,000",Monthly
61,Company Undisclosed,Payroll Executive,East,Fresh/entry level ...,Admin / Secretarial,"$3,000to$3,800",Monthly
62,Company Undisclosed,Lead Consultant (Governance & Quality Assurance) (Ref 22851),Islandwide,Executive ...,Information Technology,"$5,000to$10,000",Monthly
63,Company Undisclosed,Senior Research Analyst,Islandwide,Executive ...,Information Technology,"$8,000to$12,000",Monthly
64,Company Undisclosed,Administration Manager,East,Senior Executive,Accounting / Auditing / Taxation,"$5,000to$6,500",Monthly
65,SINGAPORE POWER LIMITED,Data Scientist,East,Senior Executive,Accounting / Auditing / Taxation,"$4,000to$8,000",Monthly
66,SINGAPORE POWER LIMITED,Senior Data Scientist,"East, Central",Executive,Information Technology,"$8,000to$14,000",Monthly
67,TBWA SINGAPORE PTE LTD,Data Director,"East, Central",Executive,Information Technology,"$8,000to$15,000",Monthly
68,FIXED & MOBILE PTE. LTD.,Head of Data Engineering,"East, Central",Executive,Information Technology,"$8,000to$11,000",Monthly
69,MONARCH INFO TECH SERVICES PTE. LTD.,Data Modeler,"East, Central",Executive,Information Technology,"$6,000to$6,500",Monthly
70,WOODPECKER ASIA TECH PTE. LTD.,Data Engineer,East,Non-executive,Information Technology,"$4,800to$5,300",Monthly
71,NANYANG TECHNOLOGICAL UNIVERSITY,"Senior Assistant Manager (Librarian), Research Data Management (18000094)",East,Non-executive,Information Technology,"$4,500to$5,500",Monthly
72,PROPERTYGURU PTE. LTD.,Data Analyst,South,Manager,Advertising / Media ,"$4,000to$5,200",Monthly
73,SKY PREMIUM INTERNATIONAL PTE. LTD.,IT Executive (Data Analyst),South,Manager,Advertising / Media ,"$2,500to$4,000",Monthly
74,FUTUREX TECHNOLOGIES PTE. LTD.,Data Analyst,South,Manager,Advertising / Media ,"$6,000to$6,500",Monthly
75,UBS AG,Data Center Service Manager,South,Manager,Advertising / Media ,"$160,000to$240,000",Annually
76,ERNST & YOUNG ADVISORY PTE. LTD.,Big Data Engineer (Financial Services),South,Executive ...,Advertising / Media ,"$8,000to$16,000",Monthly
77,LYNX ANALYTICS PTE. LTD.,Senior Data Scientist,South,Executive ...,Advertising / Media ,"$7,000to$9,500",Monthly
78,NOMURA SINGAPORE LIMITED,Data Scientist - Information Technology,East,Executive,Logistics / Supply Chain ...,"$20,800to$33,000",Monthly
79,RUBICOR GROUP PTE. LIMITED,Business Data Analyst,East,Executive,Logistics / Supply Chain ...,"$5,000to$8,000",Monthly
80,DELOITTE CONSULTING PTE. LTD.,Manager - Future of Work (Data Science),Central,Executive,Accounting / Auditing / Taxation,"$7,000to$14,000",Monthly
81,JEWEL PAYMENTECH PTE. LTD.,Data Engineer,Central,Executive,Accounting / Auditing / Taxation,"$4,000to$8,000",Monthly
82,SCIENTE INTERNATIONAL PTE. LTD.,Big Data Architect (JD#4848),South,Senior Executive,Others,"$8,000to$10,000",Monthly
83,SAKSOFT PTE LIMITED,Openings for  Big data,South,Senior Executive,Others,"$6,000to$10,000",Monthly
84,CREATIVE INFRASTRUCTURE SOLUTIONS PTE. LTD.,Data  Centre  Support  Engineer,Central,Senior Executive,Human Resources ,"$1,500to$1,700",Monthly
85,SPOTIFY SINGAPORE PTE. LTD.,Data Scientist,Central,Senior Executive,Human Resources ,"$90,000to$110,000",Annually
86,STANDARD CHARTERED BANK,Data Scientist,Central,Manager,Logistics / Supply Chain ...,"$12,500to$15,000",Monthly
87,RGF TALENT SOLUTIONS SINGAPORE PTE. LTD.,Senior Data Analyst,Central,Manager,Logistics / Supply Chain ...,"$8,000to$12,500",Monthly
88,STARHUB LTD.,"Senior Engineer /  Engineer, Data Centre Facilities Management",West,Manager,Engineering,"$3,500to$4,800",Monthly
89,TALENT TRADER GROUP PTE. LTD.,Data Technical Support Engineer,West,Manager,Engineering,"$2,500to$4,000",Monthly
90,ALLEGIS GLOBAL SOLUTIONS (SINGAPORE) PTE. LTD.,Developer for Data Strategy Team (1 year contract extendable),West,Professional,Engineering ...,"$3,500to$6,000",Monthly
91,NTT DATA SERVICES SINGAPORE PTE. LTD.,PMO Finance,West,Professional,Engineering ...,"$5,500to$7,000",Monthly
92,NTT DATA SERVICES SINGAPORE PTE. LTD.,Project Manager,West,Executive ...,Human Resources ,"$6,500to$9,500",Monthly
93,NCS PTE. LTD.,Lead consultant,West,Executive ...,Human Resources ,"$7,000to$10,000",Monthly
94,"TURNER BROADCASTING SALES SOUTHEAST ASIA, INC","Engineer, Business Intelligence",West,Executive,Human Resources ,"$68,040to$83,160",Annually
95,LEGO SINGAPORE PTE. LTD.,Masterdata Help Desk Assistant (Temporary),West,Executive,Human Resources ,"$2,600to$5,200",Monthly
96,TRIPADVISOR SINGAPORE PRIVATE LIMITED,"Strategic Insights Specialist, APAC",Islandwide,Manager,Building and Construction,"$4,500to$6,600",Monthly
97,TOTAL EBIZ SOLUTIONS PTE. LTD.,Analyst Programmer,Islandwide,Manager,Building and Construction,"$5,000to$6,500",Monthly
98,WEWORK SINGAPORE PTE. LTD.,HR Program Manager,Central,Fresh/entry level,Architecture / Interior Design ...,"$8,500to$12,750",Monthly
99,NOMURA SINGAPORE LIMITED,"Vice President, KDB Developer - Corporate",Central,Fresh/entry level,Architecture / Interior Design ...,"$15,000to$18,300",Monthly
100,ALLEGIS GLOBAL SOLUTIONS (SINGAPORE) PTE. LTD.,"Legal Documentation Officer, FM (1 year contract, Changi)",West,Junior Executive,Human Resources ,"$2,800to$5,000",Monthly
101,DOCDOC PTE. LTD.,Sales Operations Manager,West,Junior Executive,Human Resources ,"$5,000to$6,500",Monthly
102,HYDROGEN CONSULTING SOLUTIONS PTE. LTD.,"Manager, Marketing",South,Non-executive,Sciences / Laboratory / R&D,"$6,000to$8,000",Monthly
103,FUTUREX TECHNOLOGIES PTE. LTD.,Tableau Lead,South,Non-executive,Sciences / Laboratory / R&D,"$6,000to$6,500",Monthly
104,Ministry of Manpower,"Manager /  Senior Manager, Compliance Strategy & Analytics, Work Pass Division (1 year contract)",West,Junior Executive,Engineering,Salary undisclosed,
105,SWIRE PACIFIC OFFSHORE OPERATIONS (PTE) LTD,Accounts Assistant,West,Junior Executive,Engineering,"$2,500to$3,200",Monthly
106,ELITEZ PTE. LTD.,Programme Manager,Central,Junior Executive,Risk Management,"$7,200to$12,000",Monthly
107,DBS BANK LTD.,"Senior Associate, Business Analyst, Middle Office Technology, T&O (190000HK)",Central,Junior Executive,Risk Management,"$5,000to$9,000",Monthly
108,DBS BANK LTD.,"AVP, Business Analyst, Middle Office Technology, T&O (190000HK)",East,Professional,Advertising / Media  ...,"$6,500to$11,700",Monthly
109,GOVERNMENT TECHNOLOGY AGENCY,Cloud Service Management Architect /  Engineer,East,Professional,Advertising / Media  ...,"$5,000to$15,000",Monthly
110,FUTUREX TECHNOLOGIES PTE. LTD.,Senior Tech Specialist  /  Program Manager,East,Professional,Design ...,"$6,000to$6,500",Monthly
111,SAKSOFT PTE LIMITED,Neoxam,East,Professional,Design ...,"$7,000to$9,000",Monthly
112,CONTINENTAL AUTOMOTIVE SINGAPORE PTE. LTD.,"Senior Engineer, Perception Software",East,Professional,Information Technology ...,"$6,000to$11,000",Monthly
113,RESOURCE SOLUTIONS CONSULTING SINGAPORE PTE. LTD.,Assistant Vice President – MAS Reporting,East,Professional,Information Technology ...,"$2,975to$5,950",Monthly
114,VIRTUSA SINGAPORE PRIVATE LIMITED,Mantas Business Analyst,West,Executive,Accounting / Auditing / Taxation,"$5,900to$8,000",Monthly
115,CHARTERHOUSE PTE. LTD.,Software Consultant,West,Executive,Accounting / Auditing / Taxation,"$6,000to$9,000",Monthly
116,GOVERNMENT TECHNOLOGY AGENCY,Cloud Service Management Architect /  Engineer,West,Executive,Accounting / Auditing / Taxation,"$5,000to$15,000",Monthly
117,LAMINAAR AVIATION INFOTECH PTE. LTD.,Lead - Business Intelligence,West,Executive,Accounting / Auditing / Taxation,"$8,000to$12,000",Monthly
118,PRODIGIOUS SINGAPORE,Videographer /  Editor,West,Executive,Accounting / Auditing / Taxation,"$4,000to$5,500",Monthly
119,Ministry of Manpower,"Senior Statistical Specialist, Process Design and Development (Manpower Research and Statistics Department) - Contract",West,Executive,Accounting / Auditing / Taxation,Salary undisclosed,
120,GOVERNMENT TECHNOLOGY AGENCY,"Director, Technical Masterplanning Office",West,Executive,Accounting / Auditing / Taxation,Salary undisclosed,
121,GOVERNMENT TECHNOLOGY AGENCY,"Senior Infrastructure Engineer /  Infrastructure Engineer, Mobility Management",West,Executive,Accounting / Auditing / Taxation,"$5,000to$15,000",Monthly
122,GOVERNMENT TECHNOLOGY AGENCY,"Infrastructure Engineer, Infrastructure and Application Monitoring",West,Executive,Human Resources  ...,"$5,000to$10,000",Monthly
123,THYE HUA KWAN MORAL CHARITIES LIMITED,Training Officer,West,Executive,Human Resources  ...,"$1,530to$2,000",Monthly
124,ABEAM CONSULTING (SINGAPORE) PTE. LTD.,SAP HCM Senior Consultant,North,Manager ...,Information Technology,"$6,000to$9,000",Monthly
125,LINGJACK ENGINEERING WORKS PTE LTD,Information Executive,North,Manager ...,Information Technology,"$2,400to$3,000",Monthly
126,NATIONAL UNIVERSITY OF SINGAPORE,Research Associate,Central,Professional,Others,"$44,760to$85,272",Annually
127,SGS TESTING & CONTROL SERVICES SINGAPORE PTE LTD,Food Technologist,Central,Professional,Others,"$2,200to$2,500",Monthly
128,WEB SYNERGIES (S) PTE LTD,SAP ABAP Consultant,South,Senior Management ...,Accounting / Auditing / Taxation ...,"$5,000to$7,000",Monthly
129,SPENCER OGDEN PTE. LTD.,Salesforce Consultant,South,Senior Management ...,Accounting / Auditing / Taxation ...,"$5,000to$8,000",Monthly
130,OPTIMUM SOLUTIONS (SINGAPORE) PTE LTD,Agile Risk Business Analyst,Central,Professional,Information Technology,"$9,000to$11,000",Monthly
131,NATIONAL UNIVERSITY OF SINGAPORE,Research Associate (OR / CVMD / KT) - 009NS,Central,Professional,Information Technology,"$44,760to$85,272",Annually
132,CANADIAN EDUCATION COLLEGE PTE. LTD.,Course Consultant,Central,Middle Management,Information Technology,"$2,000to$7,000",Monthly
133,NANYANG TECHNOLOGICAL UNIVERSITY,Research Fellow,Central,Middle Management,Information Technology,"$6,000to$8,300",Monthly
134,EDEN ENGINEERING & CONSTRUCTION PTE. LTD.,Senior Hvac Engineer,South,Manager ...,Advertising / Media ,"$6,000to$8,000",Monthly
135,FIXED & MOBILE PTE. LTD.,Corporate Development and M&A Strategy Director,South,Manager ...,Advertising / Media ,"$15,000to$20,000",Monthly
136,GOVERNMENT TECHNOLOGY AGENCY,"Infrastructure Engineer, Infrastructure and Application Monitoring",Central,Senior Management,Information Technology,"$5,000to$10,000",Monthly
137,ISENTIA BRANDTOLOGY PTE. LTD.,Senior software engineer,Central,Senior Management,Information Technology,"$5,000to$7,500",Monthly
138,GOVERNMENT TECHNOLOGY AGENCY,"Senior Infrastructure Engineer /  Infrastructure Engineer, Mobility Management",Central,Professional,Information Technology,"$5,000to$15,000",Monthly
139,GOVERNMENT TECHNOLOGY AGENCY,"Director, Technical Masterplanning Office",Central,Professional,Information Technology,Salary undisclosed,
140,ISENTIA BRANDTOLOGY PTE. LTD.,Software Engineer,Central,Professional,Consulting  ...,"$3,000to$4,000",Monthly
141,RANOSYS TECHNOLOGIES PTE. LTD.,Java Developer,Central,Professional,Consulting  ...,"$4,000to$8,500",Monthly
142,BOSKALIS INTERNATIONAL (S) PTE LTD,Hydrologist,West,Manager ...,Education and Training ...,"$3,300to$6,000",Monthly
143,SABRE ASIA PACIFIC PTE. LTD.,HR Business Partner,West,Manager ...,Education and Training ...,"$84,000to$144,000",Annually
144,MACHSPEED HUMAN RESOURCES PTE. LTD.,"Engineering Assistant-QA (S$1800-2000+OT, Day Shift, West)",Central,Fresh/entry level ...,Engineering ...,"$1,800to$2,000",Monthly
145,NEURONCREDIT PTE. LTD.,Senior Research Scientist,Central,Fresh/entry level ...,Engineering ...,"$9,000to$13,000",Monthly
146,MACHSPEED HUMAN RESOURCES PTE. LTD.,"Accounts  Officer (3-6 months contract, Science Park, $2500-2800)",Central,Executive,Information Technology,"$2,500to$2,800",Monthly
147,MACHSPEED HUMAN RESOURCES PTE. LTD.,"Production Planner (5 days, Clementi,  $1800-2000)",Central,Executive,Information Technology,"$1,800to$2,000",Monthly
148,Company Undisclosed,Operations Manager,West,Executive,Information Technology,Salary undisclosed,
149,STONENEST CONSULTANCY SERVICES (PRIVATE) LIMITED,Accountant,West,Executive,Information Technology,"$1,800to$2,500",Monthly
150,Singapore Academy of Law,"SENIOR MANAGER, MANPOWER PLANNING AND DEVELOPMENT",Central,Senior Executive,Banking and Finance,Salary undisclosed,
151,TOTAL EBIZ SOLUTIONS PTE. LTD.,Associate Architect,Central,Senior Executive,Banking and Finance,"$6,000to$7,400",Monthly
152,ANALYTICAL SYSTEMS ENGINEERING PTE LTD,Project Engineer,Central,Middle Management,Consulting  ...,"$2,000to$4,000",Monthly
153,SWIRE PACIFIC OFFSHORE OPERATIONS (PTE) LTD,Accounts Assistant (6-month),Central,Middle Management,Consulting  ...,"$1,500to$2,500",Monthly
154,GMP RECRUITMENT SERVICES (S) PTE LTD,"Regional Sales & Marketing Executive (CBD, Photoshop, Up to $3K)",Islandwide,Senior Executive,Information Technology,"$2,500to$3,000",Monthly
155,STANDARD CHARTERED BANK,Support Specialist,Islandwide,Senior Executive,Information Technology,"$12,500to$15,800",Monthly
156,UNIMAS CONSULTING SOLUTIONS PTE. LTD.,ERP Implementation Lead,Central,Professional,Banking and Finance,"$2,500to$8,000",Monthly
157,MAERSK DRILLING HOLDINGS SINGAPORE PTE. LTD.,Finance Assistant,Central,Professional,Banking and Finance,"$2,100to$2,500",Monthly
158,ECU-WORLDWIDE (SINGAPORE) PTE. LTD.,Business Development Manager-SEA,Central,Senior Executive,Information Technology,"$5,000to$6,500",Monthly
159,ADECCO PERSONNEL PTE LTD,Business Consultant,Central,Senior Executive,Information Technology,"$7,000to$9,000",Monthly
160,SENNHEISER ELECTRONIC ASIA PTE LTD,HR EXECUTIVE,Islandwide,Manager,Consulting ,"$2,000to$3,500",Monthly
161,IPSOS PTE. LTD.,Finance Assistant,Islandwide,Manager,Consulting ,Salary undisclosed,
162,ECU-WORLDWIDE (SINGAPORE) PTE. LTD.,Functional Support Executive - APAC (Microsoft Dynamics AX),East,Professional,Information Technology,"$5,000to$6,000",Monthly
163,NAVIG8 ASIA PTE. LTD.,Ship Charterer,East,Professional,Information Technology,"$6,000to$10,000",Monthly
164,GOVERNMENT TECHNOLOGY AGENCY,"Director, Audit and Compliance",Islandwide,Middle Management ...,Information Technology,Salary undisclosed,
165,PEOPLEBANK SINGAPORE PTE. LTD.,Application Tester,Islandwide,Middle Management ...,Information Technology,Salary undisclosed,
166,Ministry of Home Affairs,Procurement Executive,South,Senior Executive,Information Technology,Salary undisclosed,
167,TOTAL EBIZ SOLUTIONS PTE. LTD.,System Analyst,South,Senior Executive,Information Technology,"$6,000to$7,500",Monthly
168,GOVERNMENT TECHNOLOGY AGENCY,Cloud Services Engineer,Central,Fresh/entry level,Engineering ...,"$5,000to$10,000",Monthly
169,GOVERNMENT TECHNOLOGY AGENCY,Cloud Infrastructure Architect /  Engineer,Central,Fresh/entry level,Engineering ...,"$5,000to$15,000",Monthly
170,GOVERNMENT TECHNOLOGY AGENCY,Cloud Infrastructure Automation Architect /  Engineer,Central,Executive,Others,"$5,000to$15,000",Monthly
171,ALTERYX SINGAPORE PTE. LTD.,Enterprise Account Executive - India & Singapore,Central,Executive,Others,"$5,000to$8,000",Monthly
172,CREDIT SUISSE AG,SG IT Developer #123910,East,Manager ...,Banking and Finance,"$6,000to$10,000",Monthly
173,GOVERNMENT TECHNOLOGY AGENCY,Cloud Infrastructure Security & Compliance Architect / Engineer,East,Manager ...,Banking and Finance,"$5,000to$15,000",Monthly
174,NATIONAL UNIVERSITY OF SINGAPORE,Research Fellow,Islandwide,Senior Executive,Information Technology,"$3,800to$5,000",Monthly
175,RYOBI GEOTECHNIQUE INTERNATIONAL PTE. LTD.,Engineer,Islandwide,Senior Executive,Information Technology,"$2,500to$3,800",Monthly
176,GOVERNMENT TECHNOLOGY AGENCY,Microsoft 365 Consultant,Central,Fresh/entry level,Engineering,"$5,000to$15,000",Monthly
177,VF BRANDS PTE. LTD.,Assistant Marketing Manager - Kipling,Central,Fresh/entry level,Engineering,"$5,000to$6,000",Monthly
178,HYDROGEN CONSULTING SOLUTIONS PTE. LTD.,Talent Acquisition Manager,Islandwide,Senior Executive,Information Technology,"$7,000to$9,000",Monthly
179,GOVERNMENT TECHNOLOGY AGENCY,"Automation Engineer, ServiceNow",Islandwide,Senior Executive,Information Technology,"$5,000to$10,000",Monthly
180,MPHASIS PTE LTD,Oracle PLSQL Developer,East,Executive,Information Technology,"$5,000to$7,000",Monthly
181,TALENT TRADER GROUP PTE. LTD.,Manufacturing Design Engineer,East,Executive,Information Technology,"$4,000to$5,500",Monthly
182,SHG FINANCIAL SERVICES PTE. LTD.,Retail Executive,East,Middle Management,Banking and Finance,"$1,700to$2,000",Monthly
183,KERRY CONSULTING PTE. LTD.,Trade Marketing Manager,East,Middle Management,Banking and Finance,"$6,000to$8,000",Monthly
184,AGAPE CHILD CARE(CCK) PTE. LTD.,ACCOUNTS & FINANCE MANAGER,East,Manager,Information Technology,Salary undisclosed,
185,MPHASIS PTE LTD,Java UI Developer,East,Manager,Information Technology,"$6,000to$9,000",Monthly
186,DAIKIN AIRCONDITIONING (SINGAPORE) PTE. LTD.,Sales Engineer,North,Professional,Information Technology,Salary undisclosed,
187,SIR MANASSEH MEYER INTERNATIONAL SCHOOL PTE. LTD.,Admissions and Marketing Officer,North,Professional,Information Technology,"$3,000to$3,700",Monthly
188,KATOEN NATIE SINGAPORE (JURONG) PTE. LTD.,Packaging Operator (Jurong Island),Islandwide,Executive,Information Technology,"$1,400to$2,800",Monthly
189,THE SUPREME HR ADVISORY PTE. LTD.,IT Support [SQL /  .NET],Islandwide,Executive,Information Technology,"$2,000to$3,000",Monthly
190,THE TORONTO-DOMINION BANK,IT network,East,Fresh/entry level,Human Resources ,"$6,000to$9,000",Monthly
191,THE SUPREME HR ADVISORY PTE. LTD.,Aerospace Technician [Overhaul /  Maintenance],East,Fresh/entry level,Human Resources ,"$2,000to$2,400",Monthly
192,FCS CAREERS PTE. LTD.,Sales Support Representative,Central,Executive,Others ...,"$2,000to$2,500",Monthly
193,ALEXANDER MANN BPO SOLUTIONS (SINGAPORE) PTE. LTD.,Operations Senior Analyst,Central,Executive,Others ...,"$3,850to$7,700",Monthly
194,ARYAN SOLUTIONS PTE. LTD.,Assistant Lead engineer - System Management,Islandwide,Executive,Information Technology,"$5,000to$6,000",Monthly
195,UPTECH CONSULTANCY PTE. LTD.,Software Engineer (Python),Islandwide,Executive,Information Technology,"$3,500to$4,000",Monthly
196,OAKTREE CONSULTING,Mechanical Engineer(Pro / E),Central,Middle Management,Human Resources ,"$4,000to$5,000",Monthly
197,OAKTREE CONSULTING,Supplier Quality Engineer(IPC Certification),Central,Middle Management,Human Resources ,"$4,000to$4,500",Monthly
198,VIBRO HOLDINGS PTE LTD,Electrical Engineer (General),Central,Professional,Banking and Finance,"$2,500to$3,000",Monthly
